STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
880;18870101;18870131;1;-999;-999;-999;-999;-999;-999;-999;-999;-999;1;     4.0;    3.3;eor
880;18870201;18870228;1;-999;-999;-999;-999;-999;-999;-999;-999;-999;1;    21.2;    9.8;eor
880;18870301;18870331;1;-999;-999;-999;-999;-999;-999;-999;-999;-999;1;    46.0;   11.4;eor
880;18870401;18870430;1;-999;-999;-999;-999;-999;-999;-999;-999;-999;1;    28.6;    5.2;eor
880;18870501;18870531;1;-999;-999;-999;-999;-999;-999;-999;-999;-999;1;   132.4;   32.4;eor
880;18870601;18870630;1;-999;-999;-999;-999;-999;-999;-999;-999;-999;1;    36.0;   11.1;eor
880;18870701;18870731;1;-999;-999;-999;-999;-999;-999;-999;-999;-999;1;    59.9;   24.2;eor
880;18870801;18870831;1;-999;-999;-999;-999;-999;-999;-999;-999;-999;1;    28.1;   10.9;eor
880;18870901;18870930;1;-999;-999;-999;-999;-999;-999;-999;-999;-999;1;    27.2;   12.5;eor
880;18871001;18871031;1;-999;-999;-999;-999;-999;-999;-999;-999;-999;1;    27.8;   14.7;eor
880;18881101;18881130;1;  4.75;   3.01;    5.94;   -0.83;    1.90;  13.5;-999; -11.5;-999;1;    38.1;    7.8;eor
880;18881201;18881231;1;  4.89;   1.38;    3.91;   -1.21;    1.19;   9.1;-999;  -7.5;-999;1;    20.2;    6.4;eor
880;18890101;18890131;1;  4.54;  -3.10;   -0.10;   -6.29;    1.35;   4.9;-999; -17.8;-999;1;    18.9;    6.9;eor
880;18890201;18890228;1;  5.90;  -2.09;    1.00;   -5.30;    1.93;   9.2;-999; -16.3;-999;1;    63.2;    8.9;eor
880;18890301;18890331;1;  5.88;   0.63;    4.98;   -3.62;    1.83;  25.9;-999; -17.0;-999;1;    44.3;   12.6;eor
